high,low,volume,close,open,time
135.06,133.56,66771774.0,134.72,134.78,1619409600
135.41,134.11,65723639.0,134.39,135.1,1619496000
135.02,133.08,106643654.0,133.58,134.32,1619582400
136.98,132.45,149222587.0,133.48,136.54,1619668800
133.56,131.065,109506363.0,131.46,131.79,1619755200
134.07,131.83,74961890.0,132.54,132.01,1620014400
131.4899,126.7,136403432.0,127.85,131.12,1620100800
130.45,127.97,83739467.0,128.1,129.21,1620187200
129.75,127.13,72188394.0,129.72,127.91,1620273600
131.2582,129.475,79265040.0,130.21,130.89,1620360000
129.54,126.81,79569305.0,126.85,129.37,1620619200
126.27,122.77,125611478.0,125.91,123.37,1620705600
124.64,122.25,101216779.0,122.82,123.5,1620792000
126.15,124.26,99117673.0,124.94,124.73,1620878400
127.89,125.85,81525305.0,127.45,126.34,1620964800
126.93,125.17,74244535.0,126.27,126.78,1621224000
126.99,124.78,63342080.0,124.85,126.48,1621310400
124.915,122.86,92612612.0,124.69,123.0,1621396800
127.72,125.1,76856062.0,127.31,125.19,1621483200
128.0,125.21,79295349.0,125.43,127.99,1621569600
127.94,125.94,63086979.0,127.1,126.0,1621828800
128.32,126.32,72015212.0,126.9,127.75,1621915200
127.39,126.42,56567152.0,126.85,126.89,1622001600
127.64,125.08,94623972.0,125.28,126.46,1622088000
125.8,124.55,71308609.0,124.61,125.55,1622174400
125.35,123.94,68136772.0,124.28,125.15,1622520000
125.24,124.05,59278133.0,125.06,124.19,1622606400
124.85,123.13,76227069.0,123.54,124.66,1622692800
126.16,123.85,75167991.0,125.89,124.01,1622779200
126.32,124.8321,71057300.0,125.9,126.2,1623038400
128.46,126.2101,74402276.0,126.74,126.6,1623124800
127.75,126.52,56886063.0,127.13,127.25,1623211200
128.19,125.94,71040501.0,126.11,127.0,1623297600
127.44,126.1,53307211.0,127.35,126.47,1623384000
130.54,127.07,96802684.0,130.48,127.75,1623643200
130.6,129.39,62698162.0,129.64,130.0,1623729600
130.89,128.461,91600145.0,130.15,130.4,1623816000
132.55,129.65,96265004.0,131.79,129.86,1623902400
131.51,130.24,108503640.0,130.46,130.86,1623988800
132.41,129.21,79390590.0,132.3,130.3,1624248000
134.08,131.62,74593393.0,133.98,132.1,1624334400
134.32,133.23,60049743.0,133.7,133.75,1624420800
134.64,132.93,68673624.0,133.41,134.41,1624507200
133.89,132.81,70599990.0,133.11,133.44,1624593600
135.245,133.35,62023484.0,134.78,133.44,1624852800
136.49,134.35,64550905.0,136.33,134.87,1624939200
137.41,135.87,63343601.0,136.96,136.14,1625025600
137.33,135.76,52355408.0,137.27,136.51,1625112000
140.0,137.745,78817014.0,139.96,137.91,1625198400
143.15,140.07,108075306.0,142.02,140.09,1625544000
144.89,142.66,104824172.0,144.57,143.5,1625630400
144.06,140.665,105564924.0,143.24,141.6,1625716800
145.65,142.6522,99690025.0,145.11,142.76,1625803200
146.32,144.0,76256145.0,144.5,146.17,1626062400
147.46,143.63,102196514.0,145.64,144.0,1626148800
149.57,147.68,126807879.0,149.15,148.0,1626235200
150.0,147.09,106632325.0,148.48,149.17,1626321600
149.76,145.88,94785141.0,146.39,148.53,1626408000
144.07,141.67,120875926.0,142.45,143.78,1626667200
147.0997,142.96,96701324.0,146.15,143.51,1626753600
146.13,144.63,75235818.0,145.4,145.51,1626840000
148.195,145.81,77280533.0,146.8,145.89,1626926400
148.7177,146.92,71340694.0,148.56,147.5,1627012800
149.83,147.7,72378287.0,148.99,148.2,1627272000
149.21,145.55,104787369.0,146.77,149.03,1627358400
146.97,142.54,118727362.0,144.98,144.84,1627444800
146.55,144.58,56573653.0,145.64,144.66,1627531200
146.33,144.11,70293624.0,145.86,144.49,1627617600
146.95,145.25,62745328.0,145.52,146.33,1627876800
148.045,145.18,64536401.0,147.36,145.75,1627963200
147.79,146.28,56305292.0,146.95,147.14,1628049600
147.84,146.17,46365090.0,147.06,146.91,1628136000
147.11,145.63,54097528.0,146.14,146.27,1628222400
146.7,145.52,48857702.0,146.09,146.27,1628481600
147.71,145.3,68980001.0,145.6,146.52,1628568000
146.72,145.53,48481757.0,145.86,146.01,1628654400
149.05,145.84,73757305.0,148.89,146.21,1628740800
149.4444,148.27,59352311.0,149.1,149.0,1628827200
151.19,146.47,103451633.0,151.12,148.6,1629086400
151.68,149.09,92080658.0,150.19,150.21,1629172800
150.72,146.15,86135096.0,146.36,149.82,1629259200
148.0,144.5,86764233.0,146.7,145.0,1629345600
148.5,146.78,60493423.0,148.19,147.53,1629432000
150.19,147.89,60040432.0,149.71,148.2,1629691200
150.86,149.15,48597949.0,149.62,149.5,1629777600
150.32,147.8,58967818.0,148.36,149.71,1629864000
149.12,147.51,48444550.0,147.54,148.35,1629950400
148.75,146.83,55642640.0,148.6,147.31,1630036800
153.49,148.61,91217890.0,153.12,148.98,1630296000
152.8,151.29,86313035.0,151.83,152.69,1630382400
154.98,152.34,80437349.0,152.51,152.82,1630468800
154.72,152.4,71205789.0,153.65,153.93,1630555200
154.63,153.09,57859731.0,154.3,153.88,1630641600
157.26,154.39,82234046.0,156.69,154.93,1630987200
157.04,153.975,74033839.0,155.11,156.99,1631073600
156.11,153.95,57281005.0,154.07,155.53,1631160000
155.48,148.7,140861543.0,148.97,155.0,1631246400
151.42,148.75,102292319.0,149.55,150.55,1631505600
151.07,146.91,109840013.0,148.12,150.35,1631592000
149.44,146.37,83247002.0,149.03,148.53,1631678400
148.97,147.221,67955339.0,148.79,148.42,1631764800
148.82,145.76,129798033.0,146.06,148.69,1631851200
144.84,141.27,123207193.0,142.94,143.86,1632110400
144.6,142.78,75784105.0,143.43,143.93,1632196800
146.43,143.7001,76081240.0,145.85,144.37,1632283200
147.08,145.64,64555135.0,146.83,146.54,1632369600
147.4701,145.56,53370477.0,146.92,145.64,1632456000
145.96,143.82,73964064.0,145.37,145.39,1632715200
