high,low,volume,close,open,time
10.18,9.88,27730421.0,10.03,10.07,1619755200
10.12,9.61,31236465.0,9.71,10.06,1620014400
9.75,9.05,35134702.0,9.39,9.65,1620100800
9.57,9.08,27597059.0,9.17,9.37,1620187200
9.4,8.93,39088021.0,9.0,9.31,1620273600
9.79,9.14,38236206.0,9.51,9.25,1620360000
10.15,9.56,40690025.0,9.74,9.93,1620619200
10.48,9.6,49592568.0,10.05,9.9,1620705600
10.625,10.02,54357605.0,10.32,10.05,1620792000
14.2,10.64,294836126.0,12.77,10.77,1620878400
14.335,12.57,207517328.0,12.98,13.28,1620964800
14.38,13.39,158934611.0,13.95,13.65,1621224000
14.67,13.5723,172489681.0,14.03,14.25,1621310400
13.31,12.14,89027169.0,12.64,12.95,1621396800
12.99,12.03,61419585.0,12.55,12.58,1621483200
12.84,12.05,53938078.0,12.08,12.52,1621569600
13.96,12.17,113319183.0,13.68,12.28,1621828800
16.67,13.552,213647232.0,16.41,13.58,1621915200
19.95,17.26,379066955.0,19.56,17.79,1622001600
29.76,18.31,705545767.0,26.52,18.88,1622088000
36.72,24.17,660642873.0,26.12,31.63,1622174400
33.53,28.53,508694962.0,32.04,32.0,1622520000
72.62,35.59,766475105.0,62.55,37.35,1622606400
68.8,37.66,598142736.0,51.34,58.5,1622692800
57.48,46.04,337700333.0,47.91,48.8,1622779200
59.6797,51.5,349096415.0,55.0,52.37,1623038400
60.62,52.77,214532441.0,55.05,57.02,1623124800
53.39,48.12,150364967.0,49.34,52.19,1623211200
51.5,39.71,224854783.0,42.81,47.93,1623297600
49.6,42.01,218001062.0,49.4,44.94,1623384000
60.55,51.52,301459703.0,57.0,51.99,1623643200
64.71,56.73,285577279.0,59.04,57.97,1623729600
57.34,51.86,166417463.0,55.18,56.0,1623816000
63.83,52.98,303531527.0,60.73,54.04,1623902400
64.955,56.85,243626875.0,59.26,61.25,1623988800
63.01,53.43,185861438.0,55.69,61.1,1624248000
58.74,51.05,169467719.0,58.27,54.05,1624334400
61.1,56.8,116306610.0,58.3,57.0,1624420800
58.76,55.66,80334460.0,56.7,57.96,1624507200
56.29,52.97,77587598.0,54.06,55.85,1624593600
59.36,54.33,99303932.0,58.11,55.06,1624852800
61.0,56.18,63610457.0,56.43,58.85,1624939200
58.18,54.65,59018397.0,56.68,56.0,1625025600
57.71,52.5306,57650587.0,54.22,56.77,1625112000
53.25,47.77,90760449.0,51.96,52.73,1625198400
55.07,49.7,62368254.0,49.96,53.46,1625544000
48.99,42.8,95314147.0,45.07,47.7,1625630400
49.79,38.76,145022578.0,47.94,41.0,1625716800
48.92,45.82,57852091.0,46.19,48.34,1625803200
46.55,42.07,62979092.0,42.61,44.5,1626062400
42.14,38.7,86792770.0,39.35,40.42,1626148800
39.13,33.245,137817214.0,33.43,38.69,1626235200
37.4,32.14,199570857.0,36.0,32.39,1626321600
38.55,34.3,126812631.0,34.96,37.55,1626408000
35.34,31.15,112827069.0,34.62,33.0,1626667200
44.39,35.13,168627137.0,43.09,35.14,1626753600
46.55,40.11,158016468.0,40.78,41.74,1626840000
41.74,37.15,93980990.0,37.24,40.2,1626926400
38.4,34.69,85472809.0,36.99,37.78,1627012800
40.85,37.57,97955691.0,40.29,38.32,1627272000
40.3,37.06,55288943.0,38.01,39.92,1627358400
39.56,36.08,71013858.0,38.9,37.4,1627444800
40.25,37.47,59442445.0,38.13,37.73,1627531200
39.19,36.79,52988492.0,37.02,37.63,1627617600
38.48,35.01,59042752.0,35.2,37.52,1627876800
35.2146,32.78,61730346.0,33.59,35.15,1627963200
35.24,29.81,85485282.0,29.84,34.47,1628049600
34.12,28.91,108559093.0,33.51,31.09,1628136000
33.58,31.57,52850878.0,32.7,33.05,1628222400
35.38,32.35,81051388.0,33.8,32.68,1628481600
37.1595,31.441,116174552.0,31.75,37.1,1628568000
31.91,29.4,69682602.0,31.55,31.24,1628654400
34.1,30.75,71201976.0,33.07,30.8,1628740800
34.48,31.88,57990407.0,33.47,32.03,1628827200
36.18,32.71,86738170.0,35.69,33.85,1629086400
38.7762,34.59,86855320.0,37.16,34.99,1629172800
38.7,36.49,57916423.0,36.55,37.11,1629259200
36.78,33.33,47905242.0,33.82,36.66,1629345600
34.6,32.2,55423687.0,34.41,33.89,1629432000
37.93,34.4,75314647.0,36.78,35.0,1629691200
48.2,36.35,228486425.0,44.26,37.15,1629777600
48.3,43.17,209264899.0,43.96,44.61,1629864000
44.78,40.07,109699382.0,40.31,42.76,1629950400
41.58,39.39,72495932.0,40.84,40.09,1630036800
45.71,41.28,108366576.0,43.33,41.8,1630296000
47.16,44.05,127649392.0,47.13,44.25,1630382400
47.85,43.05,82768382.0,43.69,46.85,1630468800
44.9,42.37,67944369.0,44.38,43.95,1630555200
44.8,42.47,52207111.0,44.02,43.5,1630641600
47.93,44.88,102128611.0,47.83,45.03,1630987200
49.4,45.73,97048253.0,47.4,47.0,1631073600
49.0,45.36,85954172.0,48.52,46.16,1631160000
51.7,48.95,90130833.0,50.16,49.14,1631246400
52.79,50.35,75097487.0,51.69,51.82,1631505600
51.5513,46.96,65844354.0,47.3,50.9,1631592000
47.74,43.77,76208085.0,46.84,46.53,1631678400
48.69,45.95,57583000.0,46.04,46.48,1631764800
46.38,44.2,68717776.0,44.2,46.03,1631851200
43.3286,38.53,70782002.0,40.29,42.0,1632110400
41.49,37.65,64687547.0,38.82,41.09,1632196800
40.57,37.74,52390615.0,40.08,38.5,1632283200
41.85,39.85,41264068.0,39.98,41.0,1632369600
40.52,39.25,32554086.0,40.01,39.94,1632456000
40.63,39.21,31164283.0,39.3,40.12,1632715200
39.13,36.88,39495148.0,36.99,39.03,1632801600
38.26,35.37,42994722.0,35.54,37.22,1632888000
41.78,33.74,102747993.0,38.06,35.11,1632974400
40.13,37.75,65897733.0,38.46,39.18,1633060800
39.03,36.33,39893969.0,36.77,38.85,1633320000
38.1,36.19,37692211.0,37.06,36.85,1633406400
37.65,35.64,35502179.0,36.83,36.35,1633492800
38.55,36.6,37689772.0,38.14,36.69,1633579200
38.78,37.06,29631185.0,37.19,37.95,1633665600
38.66,36.2982,37345060.0,37.25,37.0,1633924800
37.57,36.22,25188001.0,36.82,37.25,1634011200
38.15,36.12,33434859.0,37.91,36.72,1634097600
41.1,37.75,67675247.0,40.07,37.78,1634184000
41.79,39.78,46448928.0,40.74,40.2,1634270400
43.63,40.49,50019557.0,43.03,40.91,1634529600
44.4404,40.74,52730822.0,40.8,43.0,1634616000
41.75,40.3,31171694.0,40.88,40.73,1634702400
41.94,38.8,33943886.0,39.24,40.93,1634788800
37.6709,35.96,46212304.0,36.6,37.25,1634875200
37.8492,35.78,30739154.0,36.83,36.23,1635134400
37.4,35.7819,27637025.0,36.05,36.5,1635220800
36.79,34.58,26002294.0,34.76,36.35,1635307200
36.069,34.86,23776114.0,35.23,35.09,1635393600
36.6298,34.53,32807062.0,35.37,35.32,1635480000
37.185,35.39,34029302.0,37.07,35.58,1635739200
38.8,36.6308,44187484.0,38.79,37.59,1635825600
44.21,38.88,82189997.0,40.79,40.99,1635912000
41.3,39.11,28553482.0,40.05,40.24,1635998400
