high,low,volume,close,open,time
514.55,505.0,4402401.0,513.47,505.0,1619755200
518.95,505.2,4090753.0,509.11,512.65,1620014400
511.63,496.79,4311830.0,503.18,509.1,1620100800
507.7843,494.63,3117207.0,496.08,504.99,1620187200
499.55,491.37,3515110.0,499.48,495.99,1620273600
508.55,501.12,3131076.0,503.84,504.62,1620360000
503.15,486.11,5113089.0,486.69,501.92,1620619200
497.99,478.65,4384551.0,495.08,480.0,1620705600
493.54,482.7,3759325.0,484.98,486.83,1620792000
490.775,482.71,2483662.0,486.83,489.13,1620878400
494.85,486.59,2677931.0,493.37,487.86,1620964800
492.71,482.81,2705049.0,488.94,485.59,1621224000
493.4778,486.1895,2350501.0,486.28,488.33,1621310400
488.57,478.54,3349831.0,487.7,481.14,1621396800
502.7,488.975,3721218.0,501.67,489.95,1621483200
505.4,497.26,3382555.0,497.89,503.12,1621569600
504.25,499.51,2412595.0,502.9,501.05,1621828800
506.365,499.22,2699403.0,501.34,506.01,1621915200
504.14,500.5,2465303.0,502.36,502.34,1622001600
505.1,498.54,3253673.0,503.86,501.8,1622088000
511.76,502.53,2911327.0,502.81,504.4,1622174400
505.41,497.7443,2482555.0,499.08,504.0,1622520000
503.22,495.82,2269004.0,499.24,499.82,1622606400
496.66,487.25,3887345.0,489.43,495.19,1622692800
501.86,490.95,3160487.0,494.74,492.0,1622779200
496.7,490.55,2793723.0,494.66,492.85,1623038400
498.82,489.37,2374037.0,492.39,497.0,1623124800
496.09,484.65,3054932.0,485.81,494.77,1623211200
490.21,482.14,4373669.0,487.27,486.53,1623297600
491.41,487.78,3118771.0,488.77,490.0,1623384000
503.5,486.91,4394713.0,499.89,489.68,1623643200
501.23,490.4,3103397.0,491.9,501.23,1623729600
496.46,486.28,3524976.0,492.41,495.0,1623816000
501.8,490.15,3187531.0,498.34,490.25,1623902400
504.49,495.24,5172355.0,500.77,496.4,1623988800
502.05,492.28,5266803.0,497.0,501.64,1624248000
513.55,495.795,5800175.0,508.82,498.54,1624334400
516.63,508.2,3938934.0,512.74,508.48,1624420800
520.96,514.4001,3346815.0,518.06,518.0,1624507200
533.06,525.0,5284601.0,527.07,529.02,1624593600
533.9399,524.56,2813773.0,533.03,528.7,1624852800
536.13,528.57,2314020.0,533.5,533.55,1624939200
534.38,526.82,2772345.0,528.21,533.29,1625025600
537.04,525.72,2801279.0,533.54,525.78,1625112000
538.5351,529.39,1979033.0,533.98,535.82,1625198400
542.86,533.0,2772105.0,541.64,533.5,1625544000
544.64,531.66,2719533.0,535.96,544.64,1625630400
535.5,529.09,3262698.0,530.76,530.19,1625716800
538.26,528.58,2773293.0,535.98,531.0,1625803200
540.6497,532.92,1778224.0,537.31,540.26,1626062400
545.33,535.76,2735490.0,540.68,535.76,1626148800
554.1,541.01,4649907.0,547.95,541.7,1626235200
557.5399,538.2,5708652.0,542.95,553.97,1626321600
544.06,527.05,3436661.0,530.31,541.81,1626408000
534.913,522.2401,3868701.0,532.28,526.22,1626667200
536.64,520.3,6917342.0,531.05,526.93,1626753600
530.99,505.61,11914867.0,513.63,526.13,1626840000
513.68,507.0,4326191.0,511.77,510.37,1626926400
517.41,504.66,3818056.0,515.41,512.16,1627012800
521.13,509.0101,2253216.0,516.49,514.38,1627272000
521.95,512.05,2757343.0,518.91,518.08,1627358400
524.47,516.98,2382497.0,519.3,522.02,1627444800
520.7799,513.7927,1731817.0,514.25,519.96,1627531200
519.79,510.9642,2530063.0,517.57,512.95,1627617600
519.85,510.51,2091476.0,515.15,519.0,1627876800
515.63,505.37,2574323.0,510.82,514.39,1627963200
517.98,510.37,2035897.0,517.35,512.46,1628049600
525.41,514.02,2554877.0,524.89,517.13,1628136000
526.84,519.39,1919709.0,520.55,523.67,1628222400
522.6699,517.99,1365267.0,519.97,521.92,1628481600
520.79,512.965,1959276.0,515.84,520.0,1628568000
519.57,509.77,1671402.0,512.4,517.0,1628654400
513.0,507.2014,1692895.0,510.72,511.86,1628740800
521.44,511.51,2176065.0,515.92,512.64,1628827200
523.38,512.3,2031808.0,517.92,515.24,1629086400
520.79,514.2,2306069.0,518.91,515.0,1629172800
526.38,518.65,2585521.0,521.87,520.0,1629259200
548.39,521.87,7758137.0,543.71,522.74,1629345600
551.3883,539.1,3773440.0,546.88,545.19,1629432000
555.55,543.74,2598287.0,553.33,545.64,1629691200
555.3141,549.27,2109399.0,553.41,552.81,1629777600
552.84,545.45,2064820.0,547.58,550.16,1629864000
552.604,545.9,1592890.0,550.12,547.0,1629950400
564.17,549.25,3247257.0,558.92,551.6,1630036800
567.1648,556.45,2445791.0,566.18,557.52,1630296000
569.48,561.611,2429056.0,569.19,566.12,1630382400
591.0,569.0,5621980.0,582.07,569.0,1630468800
598.7567,583.68,6183945.0,588.55,583.68,1630555200
591.8783,583.14,2683543.0,590.53,585.86,1630641600
613.85,593.99,5829623.0,606.71,594.34,1630987200
615.6,595.71,5396575.0,606.05,603.84,1631073600
609.44,596.55,2951360.0,597.54,606.47,1631160000
609.45,593.67,3950179.0,598.72,598.16,1631246400
598.57,582.775,3060384.0,589.29,598.57,1631505600
587.28,575.56,3451426.0,577.76,584.89,1631592000
584.62,575.37,2753995.0,582.87,578.17,1631678400
587.48,577.72,1829492.0,586.5,584.3,1631764800
590.28,580.8501,4145882.0,589.35,587.52,1631851200
591.53,568.08,3726029.0,575.43,588.03,1632110400
581.88,569.37,2250369.0,573.14,578.31,1632196800
595.65,579.69,4009081.0,590.65,579.69,1632283200
599.32,589.1301,2520859.0,593.26,590.79,1632369600
592.98,583.64,2123713.0,592.39,592.5,1632456000
593.58,576.93,2499929.0,592.64,586.61,1632715200
599.5353,580.16,4421749.0,583.85,589.46,1632801600
609.8799,588.01,6204667.0,599.06,588.53,1632888000
619.0,608.05,6587336.0,610.34,608.05,1632974400
614.99,597.505,4085797.0,613.15,604.72,1633060800
626.125,594.68,4978797.0,603.35,614.0,1633320000
640.39,606.89,9526794.0,634.81,606.89,1633406400
639.8699,626.36,4561326.0,639.1,627.79,1633492800
646.84,630.45,3553209.0,631.85,642.61,1633579200
643.8,630.86,3264521.0,632.66,634.49,1633665600
639.42,626.78,2855919.0,627.04,634.0,1633924800
637.655,621.99,3213102.0,624.94,633.02,1634011200
632.1791,622.1,2405751.0,629.76,630.1,1634097600
636.88,626.79,2516423.0,633.8,632.34,1634184000
639.42,625.16,4090332.0,628.29,639.0,1634270400
638.41,620.5901,4635865.0,637.97,632.1,1634529600
641.0,632.3,7604421.0,639.0,637.15,1634616000
637.4,617.15,10588542.0,625.14,625.14,1634702400
654.01,628.65,8411205.0,653.16,629.23,1634788800
665.46,651.81,6134784.0,664.78,652.5,1634875200
675.88,657.07,3805494.0,671.66,663.0,1635134400
676.4899,662.77,2884031.0,668.52,673.76,1635220800
671.41,661.85,2255616.0,662.92,669.0,1635307200
676.8,668.03,2866673.0,674.05,672.14,1635393600
690.9699,671.24,3801276.0,690.31,673.06,1635480000
689.97,676.54,3316202.0,681.17,689.06,1635739200
687.68,673.82,3883070.0,677.72,683.11,1635825600
689.39,677.27,2332726.0,688.29,677.27,1635912000
685.94,665.5,4864840.0,668.4,685.555,1635998400
665.64,645.01,5260694.0,645.72,663.04,1636084800
656.0,643.79,2886702.0,651.45,650.29,1636347600
660.5,650.52,2413611.0,655.99,653.7,1636434000
660.3306,642.11,2403295.0,646.91,653.74,1636520400
665.82,649.705,2868296.0,657.58,650.24,1636606800
683.34,653.82,4197679.0,682.61,660.16,1636693200
685.2599,671.49,2905863.0,679.33,680.81,1636952400
688.3599,676.9,2077024.0,687.4,678.27,1637038800
700.9894,686.09,2727860.0,691.69,690.0,1637125200
691.74,679.735,2015413.0,682.02,691.61,1637211600
694.16,675.0,2612133.0,678.8,693.26,1637298000
679.48,656.47,2764997.0,659.2,676.02,1637557200
666.43,646.05,2318772.0,654.06,657.25,1637643600
661.44,651.1,1861607.0,658.29,658.01,1637730000
676.405,660.67,2874093.0,665.64,676.0,1637902800
667.99,658.29,2526831.0,663.84,664.58,1638162000
675.38,640.01,5601942.0,641.9,670.0,1638248400
654.52,617.07,3888746.0,617.77,649.48,1638334800
625.36,612.88,3323646.0,616.47,617.1,1638421200
625.5,594.0,4824617.0,602.13,624.87,1638507600
617.29,601.0,3088996.0,612.69,606.14,1638766800
628.89,611.4,3121772.0,625.58,620.0,1638853200
632.455,623.2,2219154.0,628.08,631.44,1638939600
630.24,610.44,2355462.0,611.0,627.72,1639026000
617.74,605.88,2738363.0,611.66,616.5,1639112400
612.64,599.52,2487272.0,604.56,612.0,1639371600
602.29,588.13,2984550.0,597.99,598.71,1639458000
605.69,584.51,2864479.0,605.04,598.18,1639544400
602.8308,588.0,3137046.0,591.06,596.64,1639630800
593.25,581.74,4451796.0,586.73,591.61,1639717200
602.8847,584.26,3236336.0,593.74,585.48,1639976400
607.82,593.8611,2317178.0,604.92,597.39,1640062800
614.82,602.63,2333918.0,614.24,603.36,1640149200
616.88,607.57,1620556.0,614.09,616.4,1640235600
615.0,609.25,2061955.0,613.12,615.0,1640581200
618.41,609.69,1882147.0,610.71,614.95,1640667600
613.98,604.68,1286011.0,610.54,610.71,1640754000
620.61,611.2401,1624793.0,612.09,612.99,1640840400
614.075,602.05,1995724.0,602.44,610.56,1640926800
609.99,590.56,3073926.0,597.37,605.61,1641186000
600.4099,581.6,4392097.0,591.15,599.91,1641272400
592.84,566.88,3668972.0,567.04,592.0,1641358800
563.36,542.01,5710206.0,553.29,553.7,1641445200
553.43,538.2175,3381586.0,541.06,549.28,1641531600
543.69,526.32,4474508.0,539.85,538.2,1641790800
543.91,530.07,3078854.0,540.84,536.17,1641877200
544.27,532.02,3783015.0,537.22,543.52,1641963600
540.79,518.26,4471657.0,519.2,537.22,1642050000
538.37,511.88,7867462.0,525.69,517.6,1642136400
521.75,508.68,4852673.0,510.8,520.08,1642482000
523.21,510.51,4352907.0,515.86,515.0,1642568400
526.64,506.93,12649968.0,508.25,517.37,1642654800
409.1499,379.99,58825404.0,397.5,399.99,1642741200
387.26,351.4701,32184319.0,387.15,384.02,1643000400
387.71,365.13,15139041.0,366.42,379.14,1643086800
382.66,356.62,12488629.0,359.7,378.73,1643173200
394.8,378.1,24281560.0,386.7,382.91,1643259600
387.0,372.08,11949815.0,384.36,386.66,1643346000
427.7,398.2,20036706.0,427.14,402.4,1643605200
458.48,425.5401,22547252.0,457.13,432.99,1643691600
451.98,426.48,14340046.0,429.48,448.0,1643778000
429.26,404.28,9992701.0,405.6,421.07,1643864400
412.77,396.6391,7786543.0,410.17,407.7,1643950800
412.35,393.55,8234519.0,402.1,410.17,1644210000
406.61,395.83,6808389.0,403.53,398.18,1644296400
412.98,398.79,7577480.0,412.89,408.65,1644382800
408.0,396.36,8365253.0,406.27,402.1,1644469200
411.6103,387.65,7193308.0,390.91,405.33,1644555600
409.36,386.891,6904070.0,396.57,386.86,1644814800
409.1619,401.01,5291757.0,407.46,403.79,1644901200
401.56,390.3842,5160318.0,398.08,400.94,1644987600
399.11,385.7,4580713.0,386.67,393.48,1645074000
402.87,389.0466,6649659.0,391.29,393.01,1645160400
392.42,373.02,6467700.0,377.38,388.4,1645506000
386.0,366.7542,4496938.0,367.46,382.72,1645592400
390.73,354.72,7038337.0,390.03,355.0,1645678800
391.29,375.58,4643340.0,390.8,386.61,1645765200
397.75,382.13,4792774.0,394.52,387.33,1646024400
395.0,383.705,3061787.0,386.24,391.6,1646110800
389.22,375.21,5145188.0,380.03,388.93,1646197200
386.12,364.65,5888742.0,368.07,386.0,1646283600
374.8186,357.17,5121650.0,361.73,368.0,1646370000
361.995,350.2,5515104.0,350.26,359.78,1646629200
358.86,340.67,6128529.0,341.76,349.67,1646715600
364.14,350.5089,6199306.0,358.79,356.97,1646802000
367.02,353.3,4313596.0,356.77,355.51,1646888400
363.36,340.0,4640206.0,340.32,361.19,1646974800
341.32,329.82,5711864.0,331.01,338.02,1647230400
345.36,332.36,5333159.0,343.75,335.0,1647316800
359.99,343.06,6823345.0,357.53,348.2,1647403200
373.31,354.88,5724208.0,371.4,359.11,1647489600
381.8,368.47,8177227.0,380.6,372.61,1647576000
381.82,368.94,4782123.0,374.59,377.55,1647835200
386.66,366.76,4199773.0,382.92,371.14,1647921600
382.46,374.49,3673178.0,374.49,379.42,1648008000
379.47,368.9,3841201.0,375.71,379.2,1648094400
377.64,366.43,3569718.0,373.85,377.07,1648180800
380.28,366.73,4323435.0,378.51,375.23,1648440000
396.5,380.33,5880723.0,391.82,384.39,1648526400
392.7,378.625,4023301.0,381.47,388.72,1648612800
384.0,373.61,4124511.0,374.59,383.59,1648699200
380.87,368.5,4632881.0,373.47,376.8,1648785600
396.02,373.13,7004417.0,391.5,374.0,1649044800
390.0,377.305,4223477.0,380.15,389.46,1649131200
376.4699,362.73,4343830.0,368.35,374.15,1649217600
368.54,353.6897,4946113.0,362.15,364.48,1649304000
362.5,354.865,4019069.0,355.88,361.96,1649390400
354.78,345.2,3772600.0,348.0,350.0,1649649600
359.41,342.25,3814416.0,344.1,355.91,1649736000
352.0,341.155,3206212.0,350.43,343.92,1649822400
352.0,339.86,4335637.0,341.13,350.95,1649908800
342.36,331.615,5095061.0,337.86,340.0,1650254400
351.68,333.22,20898987.0,348.61,333.22,1650340800
248.7,212.51,133313249.0,226.19,245.0,1650427200
227.68,211.52,53478738.0,218.22,220.12,1650513600
226.27,210.05,37486479.0,215.52,220.22,1650600000
216.66,204.51,28098853.0,209.91,213.75,1650859200
209.15,198.2773,20289209.0,198.4,208.7,1650945600
200.19,187.77,22264986.0,188.54,193.72,1651032000
201.48,185.6,21317314.0,199.52,191.56,1651118400
