Date,Open,High,Low,Close,Volume,Market Cap
"Jul 11, 2020",9277.51,9293.53,9199.49,9240.35,13249910444,170302234778
"Jul 12, 2020",9241.06,9319.42,9197.45,9276.5,14452361907,170977422928
"Jul 13, 2020",9277.2,9306.4,9224.29,9243.61,17519821266,170379677119
"Jul 14, 2020",9238.7,9283.84,9171.66,9243.21,18085038362,170380670525
"Jul 15, 2020",9241.9,9275.33,9171.93,9192.84,15844731575,169460074576
"Jul 16, 2020",9191.98,9214.31,9088.95,9132.23,15713967523,168350501976
"Jul 17, 2020",9131.81,9182.25,9089.2,9151.39,13944570749,168710427574
"Jul 18, 2020",9151.18,9230.98,9100.82,9159.04,12252601475,168858972269
"Jul 19, 2020",9158.01,9201.4,9097.63,9185.82,12939002784,169360219986
"Jul 20, 2020",9187.22,9214.27,9137.51,9164.23,13755604146,168970262859
"Jul 21, 2020",9162.51,9407.26,9149.39,9374.89,18069581956,172861732402
"Jul 22, 2020",9375.08,9530.52,9319.65,9525.36,16532254884,175644844408
"Jul 23, 2020",9527.14,9610.25,9483,9581.07,18146399002,176680237480
"Jul 24, 2020",9585.51,9623.34,9481.45,9536.89,16552768325,175875016548
"Jul 25, 2020",9539.49,9704.56,9530.21,9677.11,16610070933,178469614078
"Jul 26, 2020",9680.23,10023.81,9652.85,9905.17,20507998997,182685328095
"Jul 27, 2020",9905.22,11298.22,9903.97,10990.87,35359749590,202719581737
"Jul 28, 2020",11017.46,11204.33,10632.63,10912.82,28766551142,201290022193
"Jul 29, 2020",10912.95,11304.4,10856.14,11100.47,24617249715,204761455133
"Jul 30, 2020",11099.83,11169.36,10895.46,11111.21,22857247901,204969047788
"Jul 31, 2020",11110.21,11415.86,10987.05,11323.47,23160469766,208895308529
"Aug 01, 2020",11322.57,11794.78,11239.68,11759.59,26075670303,216950669098
"Aug 02, 2020",11758.76,12034.14,11018.13,11053.61,27410067336,203936136730
"Aug 03, 2020",11043.77,11453.08,11012.41,11246.35,20271713443,207503423456
"Aug 04, 2020",11246.2,11385.38,11094.15,11205.89,21250197042,206767135617
"Aug 05, 2020",11203.82,11786.62,11158.29,11747.02,24411254471,216761492406
"Aug 06, 2020",11749.87,11902.34,11598.71,11779.77,23400740340,217377233001
"Aug 07, 2020",11778.89,11898.04,11408.59,11601.47,23132312867,214097928027
"Aug 08, 2020",11604.55,11800.06,11558.43,11754.05,17572057837,216924147851
"Aug 09, 2020",11737.33,11806.06,11548.78,11675.74,17489608833,215490364255
"Aug 10, 2020",11662.26,12045.14,11662.26,11878.11,26114112569,219235405395
"Aug 11, 2020",11881.65,11932.71,11195.71,11410.53,27039782640,210616121945
"Aug 12, 2020",11404.6,11748.4,11249.61,11584.93,25064548486,213846666475
"Aug 13, 2020",11588.41,11796.4,11216.87,11784.14,27522199497,217534728413
"Aug 14, 2020",11772.66,12150.99,11685.46,11768.87,24237958589,217265120503
"Aug 15, 2020",11768.7,11963.2,11768.7,11865.7,23354924400,219064372745
"Aug 16, 2020",11866.69,11934.9,11737.19,11892.8,20583375490,219576092170
"Aug 17, 2020",11895.66,12359.06,11806.7,12254.4,28227687027,226261747567
"Aug 18, 2020",12251.9,12335.71,11954.53,11991.23,26043227672,221413097553
"Aug 19, 2020",11990.88,12028.92,11687.33,11758.28,24502851117,217122068305
"Aug 20, 2020",11761.5,11900.41,11710.06,11878.37,20175242945,219350310326
"Aug 21, 2020",11878.03,11899.26,11564.98,11592.49,23762425999,214082401861
"Aug 22, 2020",11585.48,11689.41,11448.81,11681.83,20224191306,215742068895
"Aug 23, 2020",11679.7,11713.43,11559.92,11664.85,18482062658,215439967321
"Aug 24, 2020",11663.69,11807.63,11623.25,11774.6,20681511755,217477962650
"Aug 25, 2020",11773.59,11778.3,11189.85,11366.14,26301509932,209942744481
"Aug 26, 2020",11366.89,11530.05,11296.99,11488.36,22466660958,212210534428
"Aug 27, 2020",11485.61,11570.79,11185.94,11323.4,23240415076,209172436817
"Aug 28, 2020",11325.3,11545.62,11316.42,11542.5,19807127588,213231661583
"Aug 29, 2020",11541.05,11585.64,11466.29,11506.87,17485597759,212583870983
"Aug 30, 2020",11508.71,11715.26,11492.38,11711.51,19760127945,216373660045
"Aug 31, 2020",11713.31,11768.88,11598.32,11680.82,22285928250,215817677822
"Sep 01, 2020",11679.32,12067.08,11601.13,11970.48,27311555343,221181001607
"Sep 02, 2020",11964.82,11964.82,11290.79,11414.03,28037405299,210909793681
"Sep 03, 2020",11407.19,11443.02,10182.47,10245.3,31927261555,189322069063
"Sep 04, 2020",10230.37,10663.92,10207.94,10511.81,29965130374,194255818704
"Sep 05, 2020",10512.53,10581.57,9946.68,10169.57,44916565292,187940141276
"Sep 06, 2020",10167.22,10353.93,10056.89,10280.35,37071460174,189997214393
"Sep 07, 2020",10281,10399.15,9916.49,10369.56,33703098409,191657203885
"Sep 08, 2020",10369.31,10414.78,9945.11,10131.52,33430927462,187267336728
"Sep 09, 2020",10134.15,10350.54,10017.25,10242.35,24128292755,189325507175
"Sep 10, 2020",10242.33,10503.91,10238.14,10363.14,54406443211,191568387062
"Sep 11, 2020",10369.03,10434.92,10140.84,10400.91,45201121775,192275791669
"Sep 12, 2020",10409.86,10578.84,10292.39,10442.17,36750077324,193049493277
"Sep 13, 2020",10452.4,10577.22,10224.33,10323.76,36506852789,190870759062
"Sep 14, 2020",10328.73,10800.01,10266.01,10680.84,35453581940,197484272947
"Sep 15, 2020",10677.75,10938.63,10656.46,10796.95,32509451925,199641896762
"Sep 16, 2020",10797.76,11100.12,10704.88,10974.9,30769986455,202942925722
"Sep 17, 2020",10973.25,11037.42,10774.63,10948.99,38151810523,202475761712
"Sep 18, 2020",10951.82,11034.91,10829.66,10944.59,26341903912,202405809881
"Sep 19, 2020",10933.75,11134.09,10909.62,11094.35,22764204008,205185696336
"Sep 20, 2020",11095.87,11095.87,10814.48,10938.27,24699523788,202308927892
"Sep 21, 2020",10934.93,10988.3,10380.26,10462.26,28884999244,193514327128
"Sep 22, 2020",10459.62,10568.08,10382.73,10538.46,23621787804,194932197947
"Sep 23, 2020",10535.49,10537.83,10197.86,10246.19,23788661867,189529920746
"Sep 24, 2020",10248.79,10771.06,10231.49,10760.07,47144380902,199045623654
"Sep 25, 2020",10761.11,10777.7,10578.91,10692.72,39348590957,197809986226
"Sep 26, 2020",10695.58,10773,10667.28,10750.72,46852525493,198893019774
"Sep 27, 2020",10746.89,10803.98,10622.92,10775.27,53745972818,199357967523
"Sep 28, 2020",10776.61,10945.35,10703.89,10709.65,47762394731,198154065044
"Sep 29, 2020",10709.65,10860,10649.5,10844.64,46582396602,200660083839
"Sep 30, 2020",10843.87,10847.26,10669.32,10784.49,44171073700,199556965504
"Oct 01, 2020",10795.25,10933.62,10472.36,10619.45,40023134100,196512086756
"Oct 02, 2020",10619.82,10657.84,10416.69,10575.98,48661453918,195716085732
"Oct 03, 2020",10575.1,10598.94,10511.13,10549.33,44660271563,195233191301
"Oct 04, 2020",10550.44,10686,10534.39,10669.58,71251776995,197468899357
"Oct 05, 2020",10676.53,10793.51,10634.6,10793.34,47537578009,199769602128
"Oct 06, 2020",10796.31,10797.58,10528.89,10604.41,42623695307,196281911458
"Oct 07, 2020",10603.36,10680.51,10562.51,10668.97,37799458436,197485816055
"Oct 08, 2020",10669.37,10945.74,10562.61,10915.69,63314794397,202064144550
"Oct 09, 2020",10927.91,11102.67,10846.85,11064.46,22799117613,204827451843
"Oct 10, 2020",11059.14,11442.21,11056.94,11296.36,22877978588,209130239495
"Oct 11, 2020",11296.08,11428.81,11288.63,11384.18,19968627060,210766812992
"Oct 12, 2020",11392.64,11698.47,11240.69,11555.36,26163972642,213950143824
"Oct 13, 2020",11548.72,11548.98,11321.22,11425.9,24241420251,211565586739
"Oct 14, 2020",11429.05,11539.98,11307.83,11429.51,24103426719,211643390713
"Oct 15, 2020",11426.6,11569.91,11303.6,11495.35,24487233058,212873103428
"Oct 16, 2020",11502.83,11540.06,11223.01,11322.12,25635480772,209676088344
"Oct 17, 2020",11322.12,11386.26,11285.35,11358.1,19130430174,210353665235
"Oct 18, 2020",11355.98,11483.36,11347.58,11483.36,18283314340,212682581771
"Oct 19, 2020",11495.04,11799.09,11408.29,11742.04,23860769928,217482407293
"Oct 20, 2020",11745.97,11999.92,11681.48,11916.34,30915821592,220721282865
"Oct 21, 2020",11913.08,13184.57,11900.93,12823.69,43414712626,237532386963
"Oct 22, 2020",12801.64,13161.59,12717.09,12965.89,34729759598,240166387522
"Oct 23, 2020",12971.55,13015.96,12752.65,12931.54,28974975003,239557562148
"Oct 24, 2020",12931.57,13145.07,12885.75,13108.06,24542317940,242839876186
"Oct 25, 2020",13108.06,13329.18,12910.06,13031.17,24406920575,241425217440
"Oct 26, 2020",13031.2,13225.3,12822.38,13075.25,29461458313,242250997936
"Oct 27, 2020",13075.24,13759.67,13060.84,13654.22,33749878156,252985946390
"Oct 28, 2020",13654.21,13837.7,12932.25,13271.29,35867318895,245899824465
"Oct 29, 2020",13271.3,13612.05,12980.06,13437.88,56499499598,248995322466
"Oct 30, 2020",13437.87,13651.52,13136.2,13546.52,30581485201,251018154920
"Oct 31, 2020",13546.53,14028.21,13457.53,13780.99,30306464719,255372071116
"Nov 01, 2020",13780.99,13862.03,13628.38,13737.11,24453857900,254569759063
"Nov 02, 2020",13737.03,13808.32,13243.16,13550.49,30771455468,251119864445
"Nov 03, 2020",13550.45,13984.98,13325.44,13950.3,29869951617,258541441764
"Nov 04, 2020",13950.49,14218.77,13580.47,14133.71,35116364962,261954213176
"Nov 05, 2020",14133.73,15706.4,14102.09,15579.85,40856321439,288771509681
"Nov 06, 2020",15579.73,15903.44,15226.84,15565.88,39837841971,288526920959
"Nov 07, 2020",15565.88,15737.1,14423.2,14833.75,35024953706,274970333140
"Nov 08, 2020",14833.75,15637.32,14744.11,15479.57,26632075029,286955182899
"Nov 09, 2020",15479.6,15785.14,14865.53,15332.32,34149115566,284236108837
"Nov 10, 2020",15332.35,15450.33,15124.96,15290.9,25574938143,283468380961
"Nov 11, 2020",15290.91,15916.26,15290.01,15701.34,29772374934,291077214052
"Nov 12, 2020",15701.3,16305,15534.77,16276.34,34175758344,301736853825
"Nov 13, 2020",16276.44,16463.18,15992.15,16317.81,31599492172,302505533181
"Nov 14, 2020",16317.81,16317.81,15749.19,16068.14,27481710135,297877068423
"Nov 15, 2020",16068.14,16123.11,15793.53,15955.59,23653867583,295790551598
"Nov 16, 2020",15955.58,16816.18,15880.71,16716.11,31526766675,309889423249
"Nov 17, 2020",16685.69,17782.92,16564.54,17645.41,39006849170,327257094857
"Nov 18, 2020",17645.19,18393.95,17352.91,17804.01,49064800278,330218014062
"Nov 19, 2020",17803.86,18119.55,17382.55,17817.09,36985055355,330475167134
"Nov 20, 2020",17817.08,18773.23,17765.8,18621.31,36992873940,345411881099
"Nov 21, 2020",18621.32,18936.62,18444.36,18642.23,39650210707,345819234185
"Nov 22, 2020",18642.23,18688.97,17671.38,18370,41280434226,340790183317
"Nov 23, 2020",18370.02,18711.43,18000.8,18364.12,42741112308,340698070308
"Nov 24, 2020",18365.01,19348.27,18128.66,19107.46,51469565009,354504361032
"Nov 25, 2020",19104.41,19390.97,18581.15,18732.12,43710357371,347558803507
"Nov 26, 2020",18729.84,18866.29,16351.03,17150.62,61396835737,318231964319
"Nov 27, 2020",17153.91,17445.02,16526.42,17108.4,38886494645,317464460530
"Nov 28, 2020",17112.93,17853.94,16910.65,17717.42,32601040734,328782832212
"Nov 29, 2020",17719.63,18283.63,17559.12,18177.48,31133957704,337336592123
"Nov 30, 2020",18178.32,19749.26,18178.32,19625.84,47728480399,364229729426
"Dec 01, 2020",19633.77,19845.98,18321.92,18803,49633658712,348976597318
"Dec 02, 2020",18801.74,19308.33,18347.72,19201.09,37387697139,356381007571
"Dec 03, 2020",19205.93,19566.19,18925.78,19445.4,31930317405,360933936017
"Dec 04, 2020",19446.97,19511.4,18697.19,18699.77,33872388058,347111351136
"Dec 05, 2020",18698.39,19160.45,18590.19,19154.23,27242455064,355563938256
"Dec 06, 2020",19154.18,19390.5,18897.89,19345.12,25293775714,359123541247
"Dec 07, 2020",19343.13,19411.83,18931.14,19191.63,26896357742,356293229783
"Dec 08, 2020",19191.53,19283.48,18269.95,18321.14,31692288756,340148764252
"Dec 09, 2020",18320.88,18626.29,17935.55,18553.92,34420373071,344486483494
"Dec 10, 2020",18553.3,18553.3,17957.07,18264.99,25547132265,339136939586
"Dec 11, 2020",18263.93,18268.45,17619.53,18058.9,27919640985,335326168919
"Dec 12, 2020",18051.32,18919.55,18046.04,18803.66,21752580802,349170613899
"Dec 13, 2020",18806.77,19381.54,18734.33,19142.38,25450468637,355479173806
"Dec 14, 2020",19144.49,19305.1,19012.71,19246.64,22473997681,357432550020
"Dec 15, 2020",19246.92,19525.01,19079.84,19417.08,26741982541,360614771027
"Dec 16, 2020",19418.82,21458.91,19298.32,21310.6,44409011479,395799863746
"Dec 17, 2020",21308.35,23642.66,21234.68,22805.16,71378606374,423576934966
"Dec 18, 2020",22806.8,23238.6,22399.81,23137.96,40387896275,429781092528
"Dec 19, 2020",23132.87,24085.86,22826.47,23869.83,38487546580,443399267277
"Dec 20, 2020",23861.77,24209.66,23147.71,23477.3,37844228422,436129331482
"Dec 21, 2020",23474.46,24059.98,22159.37,22803.08,45852713981,423625088584
"Dec 22, 2020",22794.04,23789.9,22430.6,23783.03,44171632681,441850902134
"Dec 23, 2020",23781.97,24024.49,22802.65,23241.34,51146161904,431808778580
"Dec 24, 2020",23240.2,23768.34,22777.6,23735.95,41080759713,441017197764
