high,low,volume,close,open,time
2.25,2.11,31824416.0,2.22,2.21,1575867600
2.28,2.14,25261366.0,2.27,2.2,1575954000
2.32,2.23,20364065.0,2.26,2.26,1576040400
2.33,2.26,22515294.0,2.27,2.3,1576126800
2.43,2.2885,37619741.0,2.39,2.31,1576213200
2.55,2.39,36969832.0,2.48,2.44,1576472400
2.63,2.5,45705508.0,2.59,2.55,1576558800
2.67,2.54,31842120.0,2.63,2.58,1576645200
2.73,2.61,36387929.0,2.62,2.69,1576731600
2.72,2.63,51014364.0,2.69,2.65,1576818000
2.76,2.65,28627274.0,2.67,2.74,1577077200
2.63,2.45,32029806.0,2.53,2.63,1577163600
2.52,2.35,44197159.0,2.51,2.45,1577336400
2.55,2.41,37703779.0,2.42,2.53,1577422800
4.87,2.88,433832161.0,3.72,2.88,1577682000
4.42,3.82,215212803.0,4.02,4.06,1577768400
4.1,3.61,103899030.0,3.72,4.07,1577941200
3.9,3.48,82981638.0,3.83,3.5,1578027600
4.24,3.66,106848660.0,3.68,4.2,1578286800
3.73,3.21,109299593.0,3.24,3.7,1578373200
3.49,3.13,65258236.0,3.39,3.13,1578459600
3.58,3.33,54722031.0,3.46,3.42,1578546000
3.575,3.4,35762408.0,3.51,3.49,1578632400
3.73,3.52,59974787.0,3.7,3.7,1578891600
3.82,3.61,55273777.0,3.76,3.7,1578978000
4.48,4.0,236408902.0,4.29,4.18,1579064400
4.4,3.91,99336772.0,4.37,4.0,1579150800
4.705,4.46,109609351.0,4.67,4.5,1579237200
5.29,4.52,181425016.0,5.17,4.6,1579582800
5.65,4.69,207132680.0,4.79,5.5,1579669200
4.95,4.31,102539138.0,4.92,4.42,1579755600
5.06,4.51,65547979.0,4.66,5.01,1579842000
4.35,3.84,102036223.0,4.01,3.97,1580101200
4.27,4.03,48979120.0,4.21,4.26,1580187600
4.33,4.02,54690986.0,4.27,4.25,1580274000
4.38,4.01,75009830.0,4.08,4.2,1580360400
4.04,3.67,77961240.0,3.78,4.01,1580446800
4.11,3.52,74051574.0,4.06,3.53,1580706000
4.7,4.16,123640918.0,4.51,4.26,1580792400
4.48,4.13,73704436.0,4.39,4.32,1580878800
4.33,4.05,75641235.0,4.08,4.2,1580965200
4.02,3.74,80791514.0,3.81,4.0,1581051600
3.91,3.6187,67159560.0,3.87,3.65,1581310800
4.05,3.8,54098605.0,3.96,3.8,1581397200
4.2,3.98,50975290.0,4.07,3.99,1581483600
4.05,3.86,42412229.0,4.03,3.95,1581570000
4.035,3.75,69655607.0,3.77,4.02,1581656400
3.98,3.76,47960883.0,3.8,3.9,1582002000
4.1,3.86,73256322.0,4.08,3.91,1582088400
4.4,4.01,86873471.0,4.26,4.11,1582174800
4.2,4.02,40482910.0,4.08,4.18,1582261200
3.935,3.76,56247642.0,3.88,3.78,1582520400
5.19,4.24,206580192.0,4.4,5.15,1582606800
4.71,4.3,69733248.0,4.34,4.48,1582693200
4.3,3.92,77846721.0,4.14,4.1,1582779600
4.14,3.87,63783042.0,4.13,4.02,1582866000
4.19,3.9,56108555.0,4.11,4.12,1583125200
4.21,3.95,47644930.0,4.06,4.1,1583211600
4.07,3.77,49465751.0,3.87,4.02,1583298000
3.89,3.68,72698095.0,3.72,3.77,1583384400
3.66,3.42,61238072.0,3.55,3.6,1583470800
3.54,2.99,55305328.0,3.29,3.05,1583726400
3.54,3.29,34928387.0,3.5,3.52,1583812800
3.53,3.26,31602952.0,3.32,3.4,1583899200
3.23,2.98,52438400.0,3.13,3.0,1583985600
3.33,2.99,41770356.0,3.11,3.28,1584072000
3.11,2.75,41266247.0,2.94,2.85,1584331200
3.12,2.79,34862223.0,2.9,2.97,1584417600
2.58,2.11,94432408.0,2.43,2.42,1584504000
2.55,2.23,35499023.0,2.38,2.29,1584590400
2.64,2.35,50498427.0,2.4,2.52,1584676800
2.37,2.15,47435199.0,2.37,2.31,1584936000
2.75,2.4,64750139.0,2.6,2.55,1585022400
2.99,2.6,56588496.0,2.76,2.72,1585108800
